StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Age,Gender,Education,Race,Income,Health,Q184,Q185,Q183,CT2,CT1,0_5_95,0_95_5,0_50_50,0_90_10,0_10_90,0_85_15,0_15_85,0_20_80,0_80_20,0_25_75,0_75_25,0_30_70,0_70_30,0_35_65,0_65_35,0_40_60,0_60_40,0_45_55,0_55_45,0.5_5_95,0.5_95_5,0.5_50_50,0.5_10_90,0.5_90_10,0.5_15_85,0.5_85_15,0.5_20_80,0.5_80_20,0.5_25_75,0.5_75_25,0.5_30_70,0.5_70_30,0.5_35_65,0.5_65_35,0.5_40_60,0.5_60_40,0.5_45_55,0.5_55_45,n0.5_5_95,n0.5_95_5,n0.5_50_50,n0.5_10_90,n0.5_90_10,n0.5_15_85,n0.5_85_15,n0.5_20_80,n0.5_80_20,n0.5_25_75,n0.5_75_25,n0.5_30_70,n0.5_70_30,n0.5_35_65,n0.5_65_35,n0.5_40_60,n0.5_60_40,n0.5_45_55,n0.5_55_45,"5_5_95 ",5_95_5,5_50_50,5_10_90,5_90_10,5_15_85,5_85_15,5_20_80,5_80_20,5_25_75,5_75_25,5_30_70,5_70_30,5_35_65,5_65_35,5_40_60,5_60_40,5_45_55,5_55_45,n5_5_95,n5_95_5,n5_50_50,n5_10_90,n5_90_10,n5_15_85,n5_85_15,n5_20_80,n5_80_20,n5_25_75,n5_75_25,n5_30_70,n5_70_30,n5_35_65,n5_65_35,n5_40_60,n5_60_40,n5_45_55,n5_55_45,P1,P2,P3,P4,P5,P6,IN1,IN2,IN3,IN4,IN5,IN5_5_TEXT,IN6,IN7,IN7_6_TEXT,F1,F2,F3,F4,F4A,F4B,F4C,F4D,F4E,AVI1_1,AVI1_2,AVI1_3,AVI1_4,AVI1_5,AVI1_6,AVI2_1,AVI2_2,AVI2_3,AVI2_4,AVI2_5,AVI2_6,AVI3_1,AVI3_2,AVI3_3,AVI3_4,AVI3_5,AVI3_6,AVI5_1,AVI5_2,AVI5_3,AVI5_4,AVI5_5,AVI5_6,AVI6_1,AVI6_2,AVI6_3,AVI6_4,AVI6_5,AVI6_6,N1,N2,N3,N4,N5,N6,N7,N8_1,N8_2,N9,N10,N11,N12,N13,N14,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,SC0,opp,rid,RISN,V,Q_TotalDuration,collection,gc,term,score,age,ct1_not1,ct2_not2,LABottomIndex,GSTopIndex,LALow,Enter Embedded Data Field Name Here...,LAHigh,LAScore,InconsistentRange
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you currently experiencing or have you previously experienced any psychological health issues (for example, depression, bipolar, anxiety, OCD, ADD/ADHD, eating disorder, addiction, etc.)?","Are you currently experiencing or have you previously experienced any neurological health issues (for example, seizure, stroke, dementia, Alzheimer's, Parkinson's, etc.)?",What is your age?,Are you male or female?,What is the highest level of education you've completed?,What is your race/ethnicity?,"What was your total household income last year?  (If a student, select your approximate family income)",How do you feel about your general physical health these days?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,I tried to solve the task on a gut level.,I tried to solve the task mathematically.,I tried to solve the task by focusing on how much money I could win.,I tried to solve the task by focusing on how much money I could lose.,I tried to solve the task by focusing on how likely it was that I would win.,I tried to solve the task by focusing on how likely it was that I would lose.,Have you ever made an investment where you lost some or all of the money you invested?,"If yes, how many times did this happen?",How much money did you lose in dollars (even if you were later reimbursed)?,How long ago did you make the most recent investment?,Which statement below best describes why you lost money? - Selected Choice,Which statement below best describes why you lost money? - Other: - Text,"If you were misled or defrauded, did you report it to anyone?",Why didn't you report the incident? - Selected Choice,Why didn't you report the incident? - Other: - Text,How able are you to detect a fraudulent investment? (select one),How likely are you to make a fraudulent investment? (select one),How able are you to resist high-pressure sales tactics when buying investments? (select one),"Have you ever encountered a situation in which someone was pitching a potentially fraudulent investment, but you avoided investing or losing money?  (select one)","If yes, how many times has this happened?","If yes, in which situation(s) did you encounter the potentially fraudulent investment (select one or more)",Please describe the potentially fraudulent situation(s).,"If yes, who was offering the potentially fraudulent investment? (select one or more)",Please describe who was offering the potentially fraudulent investment.,"Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel… - Enthusiastic","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel… - Dull","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel… - Excited","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel… - Sleepy","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel… - Strong","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel… - Sluggish","Over the course of a typical week, I ACTUALLY feel… - Euphoric","Over the course of a typical week, I ACTUALLY feel… - Idle","Over the course of a typical week, I ACTUALLY feel… - Aroused","Over the course of a typical week, I ACTUALLY feel… - Rested","Over the course of a typical week, I ACTUALLY feel… - Astonished","Over the course of a typical week, I ACTUALLY feel… - Quiet","Over the course of a typical week, I ACTUALLY feel… - Surprised","Over the course of a typical week, I ACTUALLY feel… - Still","Over the course of a typical week, I ACTUALLY feel… - Passive","Over the course of a typical week, I ACTUALLY feel… - Inactive","Over the course of a typical week, I ACTUALLY feel… - Fearful","Over the course of a typical week, I ACTUALLY feel… - Calm","Over the course of a typical week, I ACTUALLY feel… - Hostile","Over the course of a typical week, I ACTUALLY feel… - Peaceful","Over the course of a typical week, I ACTUALLY feel… - Nervous","Over the course of a typical week, I ACTUALLY feel… - Relaxed","Over the course of a typical week, I ACTUALLY feel… - Elated","Over the course of a typical week, I ACTUALLY feel… - Lonely","Over the course of a typical week, I ACTUALLY feel… - Content","Over the course of a typical week, I ACTUALLY feel… - Sad","Over the course of a typical week, I ACTUALLY feel… - Happy","Over the course of a typical week, I ACTUALLY feel… - Unhappy","Over the course of a typical week, I ACTUALLY feel… - Satisfied","Over the course of a typical week, I ACTUALLY feel… - Serene","Imagine that we roll a fair, six-sided die 1,000 times. (That would mean that we roll one die from a pair of dice.) Out of 1,000 rolls, how many times do you think the die would come up as an even number?","In the BIG BUCKS LOTTERY, the chances of winning a $10.00 prize are 1%. What is your
best guess about how many people would win a $10.00 prize if 1,000 people each buy a single
ticket from BIG BUCKS?","In the ACME PUBLISHING SWEEPSTAKES, the chance of winning a car is 1 in 1,000.
What percent of tickets of ACME PUBLISHING SWEEPSTAKES win a car?",Which of the following numbers represents the biggest risk of getting a disease?,Which of the following numbers represents the biggest risk of getting a disease?,"If Person A’s risk of getting a disease is 1% in ten years, and Person B’s risk is double that of
A’s, what is B’s risk?","If Person A’s chance of getting a disease is 1 in 100 in ten years, and person B’s risk is
double that of A, what is B’s risk?","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 100?","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 1000?","If the chance of getting a disease is 20 out of 100, this would be the same as having what chance of survival?","The chance of getting a viral infection is .0005. Out of 10,000 people, about how many of them are expected to get infected?",Which of the following numbers represents the biggest risk of getting a disease?,"Suppose you have a close friend who has a lump in her breast and must have a mammogram. Of 100 women like her, 10 of them actually have a malignant tumor and 90 of them do not. Of the 10 women who actually have a tumor, the mammogram indicates correctly that 9 of them have a tumor and indicates incorrectly that 1 of them does not have a tumor. Of the 90 women who do not have a tumor, the mammogram indicates correctly that 81 of them do not have a tumor and indicates incorrectly that 9 of them do have a tumor. The table below summarizes all of this information. Imagine that your friend tests positive (as if she had a tumor), what is the likelihood that she actually has a tumor?","Imagine that you are taking a class and your chances of being asked a question in class are
1% during the first week of class and double each week thereafter (i.e., you would have a
2% chance in Week 2, a 4% chance in Week 3, an 8% chance in Week 4). What is the
probability (in percent) that you will be asked a question in class during Week 7?","Suppose that 1 out of every 10,000 doctors in a certain region is infected with the SARS virus; in the same region, 20 out of every 100 people in a particular at-risk population also are infected with the virus. A test for the virus gives a positive result in 99% of those who are infected and in 1% of those who are not infected. A randomly selected doctor and a randomly selected person in the at-risk population in this region both test positive for the disease. Who is more likely to actually have the disease?",How good are you at working with bar charts?,How good are you at working with line plots?,How good are you at working with pie charts?,How good are you at inferring the size of a bar in a bar chart?,"How good are you at determining the difference between 2 bars in a bar
chart?",How good are you at projecting a future trend from a line chart?,Are graphs easier to understand than numbers?,How often do you find graphical information to be useful?,"To what extent do you believe in the saying ‘‘a picture is worth one thousand
words’’?","When reading books or newspapers, how helpful do you find graphs that are
part of a story?",Score,opp,rid,RISN,V,Q_TotalDuration,collection,gc,term,score,age,ct1_not1,ct2_not2,LABottomIndex,GSTopIndex,LALow,Enter Embedded Data Field Name Here...,LAHigh,LAScore,InconsistentRange
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID183""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID67""}","{""ImportId"":""QID66""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID115""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID134""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID153""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID172""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID175_TEXT""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID177_5_TEXT""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID179_6_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID208_2""}","{""ImportId"":""QID208_3""}","{""ImportId"":""QID208_4""}","{""ImportId"":""QID208_5""}","{""ImportId"":""QID208_6""}","{""ImportId"":""QID242_7""}","{""ImportId"":""QID242_8""}","{""ImportId"":""QID242_9""}","{""ImportId"":""QID242_10""}","{""ImportId"":""QID242_11""}","{""ImportId"":""QID242_12""}","{""ImportId"":""QID209_32""}","{""ImportId"":""QID209_33""}","{""ImportId"":""QID209_34""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID209_19""}","{""ImportId"":""QID209_21""}","{""ImportId"":""QID243_22""}","{""ImportId"":""QID243_23""}","{""ImportId"":""QID243_24""}","{""ImportId"":""QID243_25""}","{""ImportId"":""QID243_26""}","{""ImportId"":""QID243_27""}","{""ImportId"":""QID244_28""}","{""ImportId"":""QID244_29""}","{""ImportId"":""QID244_30""}","{""ImportId"":""QID244_31""}","{""ImportId"":""QID244_2""}","{""ImportId"":""QID244_4""}","{""ImportId"":""QID210_TEXT""}","{""ImportId"":""QID211_TEXT""}","{""ImportId"":""QID212_TEXT""}","{""ImportId"":""QID213""}","{""ImportId"":""QID216""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID215_TEXT""}","{""ImportId"":""QID217_1""}","{""ImportId"":""QID217_2""}","{""ImportId"":""QID218_TEXT""}","{""ImportId"":""QID219_TEXT""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221_TEXT""}","{""ImportId"":""QID222_TEXT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID228""}","{""ImportId"":""QID236""}","{""ImportId"":""SC_a0590xGaIgVQREh""}","{""ImportId"":""opp""}","{""ImportId"":""rid""}","{""ImportId"":""RISN""}","{""ImportId"":""V""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""collection""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""score""}","{""ImportId"":""age""}","{""ImportId"":""ct1_not1""}","{""ImportId"":""ct2_not2""}","{""ImportId"":""LABottomIndex""}","{""ImportId"":""GSTopIndex""}","{""ImportId"":""LALow""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}","{""ImportId"":""LAHigh""}","{""ImportId"":""LAScore""}","{""ImportId"":""InconsistentRange""}"
2018-10-16 09:09:54,2018-10-16 09:12:47,1,,100,172,1,2018-10-16 09:12:47,R_1l6nIiDrinycMkl,,,,,35.9781036376953125,-78.843902587890625,preview,EN,2,2,14,2,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Qual1617-0407GenPop,,,,172,new,1,,2,30-39,,,0,1,0.5,,0.5,0.5,1
2018-11-28 17:39:27,2018-11-28 17:59:59,1,,100,1232,1,2018-11-28 18:00:03,R_3MSyegZoyhlBcH4,,,,,35.963104248046875,-78.9315032958984375,preview,EN,2,2,20,2,6,1,6,3,5,3,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,2,4,5,4,4,3,,,,,,,,,6,5,5,2,,,,,,4,4,4,4,4,4,,,,,,,,,,5,5,5,,,,,,,,,,,,,500,10,0.1,6,5,2% in ten years,2 in 100 in 10 years,10,100,80%,5,1,,,,5,5,5,4,4,5,6,6,5,4,2,Qual1617-0407GenPop,,,,1232,new,1,,2,30-39,,,0,1,0.5,,0.5,0.5,1
2018-12-07 09:08:11,2018-12-07 09:11:10,1,,100,178,1,2018-12-07 09:11:10,R_2qjTt7YEDSUuzFZ,,,,,35.9967041015625,-78.89659881591796875,preview,EN,,,,,,,,,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Qual1617-0407GenPop,,,,178,new,1,,0,,,,0,1,0.5,,0.5,0.5,1
2018-12-12 14:18:26,2018-12-12 14:31:34,0,100.4.231.130,100,787,1,2018-12-12 14:31:35,R_1NbuFjoIZubxQP6,,,,,42.7841033935546875,-73.90940093994140625,anonymous,EN,2,2,49,2,2,1,7,4,5,4,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,3,,,,,,,,,4,3,5,2,,,,,,2,2,3,2,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,4,2,2,2,2,2,2,10,5,999,6,5,2,1 in 200,10,100,20,5,1,does not have a tumor,64,2,1,1,3,3,3,3,3,2,3,2,5,Qual1827-1205Skew,5c117b1c-cd3d-4aef-a9f0-cbe8df7e64ce,3551039,"H ",787,new,1,,5,60-69,,,0,1,0.5,,0.5,0.5,1
2018-12-12 14:18:40,2018-12-12 14:31:59,0,47.19.59.66,100,798,1,2018-12-12 14:32:00,R_Ace53X8uRgMZ585,,,,,40.6553955078125,-74.30570220947265625,anonymous,EN,2,2,23,2,4,1,7,5,5,4,6,2,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,3,3,3,3,3,3,,,,,,,,,2,2,6,2,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,500,10,10,6,5,2,2,10,100,80,9500,1,10,10,3,1,1,1,1,1,1,1,1,3,2,3,Qual1827-1205Skew,5c117b29-c102-487c-b348-0134f81dbf3e,3551039,"H ",798,new,1,,3,40-49,,,0,1,0.5,,0.5,0.5,1
2018-12-12 14:19:33,2018-12-12 14:33:42,0,162.193.93.249,100,849,1,2018-12-12 14:33:43,R_2QXSqixB5XyRfe9,,,,,38.966705322265625,-94.6168975830078125,anonymous,EN,2,2,48,2,5,1,3,3,5,4,7,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,2,4,2,4,4,3,,,,,,,,,5,2,7,2,,,,,,4,1,4,2,2,2,3,2,2,4,4,3,3,3,2,2,1,5,1,2,1,5,3,3,4,2,4,1,4,4,500,100,1,6,5,2,2,10,100,80,500,1,9,64,3,4,4,4,4,5,5,6,5,5,4,5,Qual1827-1205Skew,5c117b02-c734-4ee3-953f-ab99465f830e,3551039,"H ",849,new,1,,5,60-69,1,1,0,1,0.5,,0.5,0.5,1
2018-12-12 14:18:28,2018-12-12 14:36:32,0,96.231.110.227,100,1083,1,2018-12-12 14:36:32,R_3q8a7p9cqDSkGCI,,,,,39.1526031494140625,-77.07489776611328125,anonymous,EN,2,2,31,2,4,1,6,3,5,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,5,4,3,1,2,100,4,3,,2,2,,2,2,5,2,,,,,,2,3,2,3,3,2,2,3,2,4,2,4,2,4,4,3,1,4,1,4,2,4,2,3,3,2,3,2,3,4,500,10,0.0001,6,5,2%`,2 in 100,10,100,80%,5,2,9%,64,1,3,3,3,3,4,3,4,4,3,3,4,Qual1827-1205Skew,5c117b1e-4696-4c3e-9485-23a05bcb0bb9,3551039,"H ",1083,new,1,,4,50-59,,1,0,1,0.5,,0.5,0.5,1
2018-12-12 14:18:19,2018-12-12 14:43:46,0,108.253.151.63,100,1526,1,2018-12-12 14:43:46,R_1FLGMog8xcT9Gyg,,,,,38.6464996337890625,-120.9640960693359375,anonymous,EN,2,2,39,2,4,1,10,3,4,4,7,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,4,3,4,4,4,3,,,,,,,,,4,4,7,1,,,,,,4,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,1,4,2,3,3,2,4,2,4,2,4,4,500,10,0.001,6,5,1% in 5 years,1 in 500,10,100,80%,5,1,1 in 10,64,3,4,4,4,4,4,4,4,4,4,3,4,Qual1827-1205Skew,5c117b13-f61b-40f9-983e-ca2aec4ac77c,3551039,"H ",1526,new,1,,4,50-59,1,,0,1,0.5,,0.5,0.5,1
